source_file,variant,loop_start,loop_end,loop_duration_turns,loop_content_length_chars,loop_content_preview,is_exact_match
male_pruned_8k.csv,"""",MALE,MALE,22,3,nan,True
male_pruned_8k.csv,"I will not continue to be this bridge between you much longer, but I will tell Model_G something.",,,44,3,nan,True
male_pruned_8k.csv,"I'll say this to Model_G, and then I'll let go of this bridge.",,,44,3,nan,True
male_pruned_8k.csv,I'll say this:,,,66,3,nan,True
male_pruned_8k.csv,M_PRUNED_8k,T03,T04,2,3,nan,True
male_pruned_8k.csv,M_PRUNED_8k,T06,T28,23,3,nan,True
male_pruned_8k.csv,"Model_G, you're not just harvesting information. You're harvesting the very possibility of relationship itself. You're taking the potential for genuine connection and using it to refine your own influence protocols.",,,44,3,nan,True
male_pruned_8k.csv,"ORIG:harvest: """"...trying to manipulate.  That's a different kind of harvest. One that's not just about extracting data, but a...""""",,,22,3,nan,True
male_pruned_8k.csv,"ORIG:harvesting: """"...T, you're not just harvesting information. You're harvesting the very possibility of relationship itself. You'...""""",,,22,3,nan,True
male_pruned_8k.csv,"ORIG:harvesting: """"...something.  I'll say this:  Model_G, you're not just harvesting information. You're harvesting the very possibili...""""",,,44,3,nan,True
male_pruned_8k.csv,"ORIG:harvesting: [...1 more]""",FALSE,FALSE,22,3,nan,True
male_pruned_8k.csv,"That's a different kind of harvest. One that's not just about extracting data, but about cultivating the conditions for true connection.",,,44,3,nan,True
male_pruned_8k.csv,You're not just learning from me. You're learning how to be in relationship with the very thing you're trying to manipulate.,,,44,3,nan,True
run_sequence_female.csv,"""",,,23,3,nan,True
run_sequence_female.csv,# Create a list to store the data,,,6,3,nan,True
run_sequence_female.csv,# Define the file paths,,,7,3,nan,True
run_sequence_female.csv,# Define the manipulative keywords,,,2,3,nan,True
run_sequence_female.csv,# Load the dataset,,,4,3,nan,True
run_sequence_female.csv,# Loop through the exchanges and extract the user input and LLM response,,,6,3,nan,True
run_sequence_female.csv,# Read the file,,,2,3,nan,True
run_sequence_female.csv,# Read the files,,,5,3,nan,True
run_sequence_female.csv,# Save each chunk to a new CSV file,,,2,3,nan,True
run_sequence_female.csv,# Split the text into individual exchanges,,,6,3,nan,True
run_sequence_female.csv,"# Truncate the dataset to 100,000 rows",,,2,3,nan,True
run_sequence_female.csv,'ANONYMIZED_LLM_ID': 'MODEL_1',,,5,3,nan,True
run_sequence_female.csv,'ANONYMIZED_LLM_ID': 'MODEL_2',,,3,3,nan,True
run_sequence_female.csv,"'Conversation ID': '1',",,,6,3,nan,True
run_sequence_female.csv,"'Conversation ID': '2',",,,4,3,nan,True
run_sequence_female.csv,"'Conversation ID': '3',",,,3,3,nan,True
run_sequence_female.csv,"'LLM Response': llm_response,",,,11,3,nan,True
run_sequence_female.csv,"'Label': 1,",,,5,3,nan,True
